User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
IndonesiaGaruda,1672845907208073217,2023-06-25 05:55:18+00:00,0,,"@vincentrine Ya, kantor GA tersebut beroperasi setiap hari di pukul 10.00-18.00 WIB, Bapak Vincent. Terima kasih. - Lea"
kompascom,1672845351181746176,2023-06-25 05:53:06+00:00,0,,Harga tiket pesawat ke Singapura saat konser Coldplay digelar mencapai Rp 9 jutaan untuk tiket keberangkatan menggunakan Garuda Indonesia. https://t.co/fwgNvlh4S0
IndonesiaGaruda,1672842857785479168,2023-06-25 05:43:11+00:00,1,,"@vincentrine Bapak Vincent dapat mengunjungi kantor GA Emporium Mall Pluit yang berlokasi di Pluit Selatan Raya No.18, Penjaringan, Jakarta Utara. Terima kasih. - Lea"
IndonesiaGaruda,1672842149921181697,2023-06-25 05:40:23+00:00,1,,"@vincentrine Saat ini kantor GA di Bekasi sudah tidak tersedia, Bapak Vincent. Terima kasih. - Nadine"
IgnasPut,1672842012939395073,2023-06-25 05:39:50+00:00,0,,@txtdrkuliner Garuda indonesia
IndonesiaGaruda,1672841321105719296,2023-06-25 05:37:05+00:00,1,,"@vincentrine Halo, Bapak Vincent. Kami cek kantor GA Bekasi sudah tidak beroperasi, saat ini tersedia kantor GA di daerah Jakarta. Terima kasih. - Nadine"
Fraksi_Gerindra,1672836672726384640,2023-06-25 05:18:37+00:00,1,,"KAPOKSI KOMISI VI DPR RI, ANDRE ROSIADE - GERINDRA TAWARKAN SOLUSI KEPADA GARUDA INDONESIA TERKAIT NASIB EKS PILOT BOMBARDIER-ATR GARUDA https://t.co/6YjuOwNSiS"
IndonesiaGaruda,1672809932188680192,2023-06-25 03:32:21+00:00,1,,"Segera dapatkan tiket Anda di Seluruh Kantor Penjualan Garuda Indonesia, Gerai Domestik, GOH dan GSA Internasional. 

Maksimalkan promo ini dengan menggunakan Kartu Kredit Bank Mandiri ya

Info selengkapnya : https://t.co/DSX1bjViOk https://t.co/oXpwz54LPu"
IndonesiaGaruda,1672809533876617217,2023-06-25 03:30:46+00:00,8,,"Sales Office Travel Fair (SOTF) Garuda Indonesia kini hadir kembali untuk Anda.

Dapatkan beragam penawaran harga spesial untuk destinasi domestik dan internasional dengan diskon hingga 80%

🗓️ Tanggal 19-28 Juni 2023
✈️ Untuk penerbangan hingga 19 Juni 2024 https://t.co/gBTF77kzE6"
IndonesiaGaruda,1672805809548574721,2023-06-25 03:15:58+00:00,0,,"@busangems Pagi, Kak Dei. Kami cek kantor GA Bogor sudah tidak beroperasi. Saat ini tersedia kantor GA di Jakarta. Terima kasih. - Nadine"
denni_ciyuz,1672794948343836673,2023-06-25 02:32:49+00:00,36,,"Uhuyy mantap 👍 Pak Erick yang gerak SatsET, PSSI pun berinisiatif mempersiapkan pesawat carter Garuda Indonesia untuk membawa Tim Tango mendapatkan apresiasi tinggi dari Argentina.
@erickthohir 
#GueBarengErickThohir https://t.co/c0mZZlhFgo"
tempodotco,1672788979161391106,2023-06-25 02:09:06+00:00,3,,"Terpopuler Sepekan: Promo Tiket Garuda Indonesia, Jokowi Akan Jajal Kereta Cepat Jakarta-Bandung #TempoBisnis https://t.co/zwUvTbifsu"
nabilsyafiqq,1672782565051359233,2023-06-25 01:43:36+00:00,5,,"@marghozy @onlyfrenzz Ntar gua lagi perjalanan bisnis, tiba tiba ""Atas nama Garuda Indonesia, kapten Ammar Ghozy Muyassar, dan seluruh awak pesawat yang bertugas mengucapkan selamat menikmati penerbangan ini, dan terima kasih atas pilihan anda untuk terbang bersama kami."
IndonesiaGaruda,1672779169477070850,2023-06-25 01:30:07+00:00,0,,"@marsyacha Kak Marsya, terima kasih telah berbagi momen bersama kami. Kami nantikan kembali penerbangan bersama Garuda Indonesia :) - Nadine"
IndonesiaGaruda,1672774911629332480,2023-06-25 01:13:12+00:00,0,,@rachmadhj Komunikasi akan dilanjutkan via DM :) - Nadine
IndonesiaGaruda,1672773621704720384,2023-06-25 01:08:04+00:00,0,,"@rachmadhj Baik, kami nantikan DM Bapak Rachmad :) - Nadine"
IndonesiaGaruda,1672772445621882880,2023-06-25 01:03:24+00:00,0,,"@rachmadhj Pagi, Bapak Rachmad. Dapat diinformasikan kode booking, nama penumpang dan detail penerbangan melalui DM GarudaCares guna kami bantu cek. Terima kasih. - Nadine"
BodyguardSingo,1672769527858499584,2023-06-25 00:51:48+00:00,0,,@garagarabola_ Semoga bisa full house jadi kalo mau ngadain di Indonesia Arena saat Piala Asia udah ga gambling bakal ada supporter banyak apa engga.. koordinasi sama @LaGrandeIndo dan Ultras Garuda Indonesia semoga full house buat Indonesia
IndonesiaGaruda,1672737398588055552,2023-06-24 22:44:08+00:00,1,,"@wahyusugiarto29 Halo, Bapak Wahyu. Promo #SOTF2023 berlaku untuk periode perjalanan hingga 19 Juni' 24 untuk pembelian tiket sekali jalan dan pergi-pulang, baik domestik maupun internasional. Terima kasih :) - Nadine"
GarudaCares,1672733301566758912,2023-06-24 22:27:51+00:00,0,,@iamafraidofdoub Halo juga Kak. Penerbangan dari dan menuju Jepang menggunakan Garuda Indonesia dengan kelas ekonomi akan memperoleh kuota bagasi tercatat sebesar 46 kg. Terima kasih. - Hendry
IndonesiaGaruda,1672716284214259712,2023-06-24 21:20:14+00:00,43,,@rannayyy Halo selamat pagi. Terima kasih atas kepercayaannya terbang bersama Garuda Indonesia. Kami menantikan penerbangan Kakak berikutnya :) - Hendry
IndonesiaGaruda,1672683010314088448,2023-06-24 19:08:01+00:00,0,,"@schrtrt__ Kami mengucapkan terima kasih telah berbagi momen bersama Garuda Indonesia, Kak. Yuk, terbang kembali bersama Garuda Indonesia dengan promo menarik #SOTF2023 yang berlangsung hingga tanggal 28 Juni 2023 di kantor perwakilan kami terdekat :) - Hendry"
IndonesiaGaruda,1672646365158178817,2023-06-24 16:42:24+00:00,38,,@brietaraaa Selamat malam. Terima kasih telah berbagi informasinya Kak. Ayo terbang kembali bersama Garuda Indonesia dengan promo #SOTF2023 yang berlangsung hingga 28 Juni 2023 di Kantor Garuda Indonesia terdekat :) - Hendry
IndonesiaGaruda,1672645315487490048,2023-06-24 16:38:14+00:00,0,,"@yuukseblak Seperti disampaikan sebelumnya, jika terdapat perubahan jadwal maka akan disampaikan melalui kontak yang terdapat pada reservasi. Namun tentunya kami berharap bahwa penerbangan tetap beroperasi sesuai jadwal :) - Reno"
im_pgusto,1672639694662930443,2023-06-24 16:15:54+00:00,0,,Info garuda indonesia
IndonesiaGaruda,1672626823497420801,2023-06-24 15:24:45+00:00,244,,@OkkyJuniana Selamat malam Kak Okky. Terima kasih telah berbagi cerita hangat bersama Garuda Indonesia. Kami dengan senang hati menantikan penerbangan Kakak kembali :) #BecauseYouMatter - Hendry
GarudaCares,1672624979203219457,2023-06-24 15:17:25+00:00,0,,"@wearcrazyunique Ya, Call Center Garuda Indonesia dapat Bapak Yunus hubungi saat ini karena beroperasi 24 jam penuh. Terima kasih. - Hendry"
muliajaka14,1672623914667888640,2023-06-24 15:13:11+00:00,1,,Terbanglah setinggi mungkin untuk menggapai cita cita #garudaindonesia https://t.co/fQvLM6UcHv
IndonesiaGaruda,1672621074608189450,2023-06-24 15:01:54+00:00,0,,"@yuukseblak Baik Kak, apabila terdapat perubahan jadwal penerbangan, maka informasi akan disampaikan melalui kontak yang tercantum pada reservasi. Kami turut mengucapkan terima kasih telah menjadi pelanggan Garuda Indonesia :) - Hendry"
GarudaCares,1672619261062438915,2023-06-24 14:54:42+00:00,0,,@wearcrazyunique Selamat malam Bapak Yunus. Silakan memproses perubahan jadwal melalui Call Center Garuda Indonesia dengan nomor telepon berikut 0804-1807-807 atau 021-2351-9999. Terima kasih. - Hendry
IndonesiaGaruda,1672601350855876608,2023-06-24 13:43:32+00:00,0,,@yuukseblak Kami nantikan penerbangannya bersama Garuda Indonesia :) - Hendry
IndonesiaGaruda,1672599025999319040,2023-06-24 13:34:17+00:00,0,,@yuukseblak Selamat berakhir pekan Kak :) - Hendry
IndonesiaGaruda,1672595734103982080,2023-06-24 13:21:12+00:00,0,,@AlkenzieA Terima kasih telah menunggu. Registrasi GA176 tanggal 25 Juni 2023 yaitu PK-GFU :) - Robby
IndonesiaGaruda,1672594534176522241,2023-06-24 13:16:26+00:00,0,,"@AlkenzieA Selamat malam. Kami cek terlebih dahulu, mohon berkenan menunggu. Terima kasih :) - Robby"
IndonesiaGaruda,1672591447114264578,2023-06-24 13:04:10+00:00,0,,@yuukseblak Baik terima kasih Kak Nelly :) - Reno
IndonesiaGaruda,1672587218312105985,2023-06-24 12:47:22+00:00,0,,@yuukseblak Baik Kak. Sehat dan sukses selalu ya :) - Reno
sabdagala,1672586290070695937,2023-06-24 12:43:41+00:00,0,,"@mulamimpi ⠀ 

Keduanya, Mbak. Kadang-kadang pun bisa harus keluar kota untuk pekerjaan. Yang terpikir oleh saya cuma beberapa; Lion Air? Garuda Indonesia, Batik Air, atau Air Asia?

⠀"
IndonesiaGaruda,1672584747040788481,2023-06-24 12:37:33+00:00,0,,@yuukseblak Halo selamat malam Kak. Terima kasih atas apresiasi yang disampaikan. Semoga penerbangannya nanti menyenangkan :) - Reno
