User,Tweet ID,Date Created,Number of Likes,Source of Tweet,Tweet
PietFitriady,1595239917658943488,2022-11-23 02:16:49+00:00,0,Twitter Web App,"Ini Pesan WA Terakhir Captain Afwan, Pilot Sriwijaya Air SJ182 https://t.co/o5hOiW5H7T"
contactap2,1595188778431574016,2022-11-22 22:53:36+00:00,0,Twitter Web App,"@caha_yo Halo kak, kami informasikan untuk penerbangan dengan maskapai Sriwijaya Air masih tersedia di Terminal 1A ya kak. Tks -Kai"
caha_yo,1595187395103977472,2022-11-22 22:48:06+00:00,0,Twitter for Android,@CGK_AP2 @SriwijayaAir @AngkasaPura_2 @contactap2 Apakah hari ini sriwijaya air masih di terminal 1A?
abcexol,1595066066157604870,2022-11-22 14:45:59+00:00,0,Twitter for Android,"@SriwijayaAir hi min, tolong cek dm"
thecrackys,1595034845738340352,2022-11-22 12:41:56+00:00,0,Twitter for Android,"@musyihab @sandi_wahyudi @BatikAirINA @LionAirID minta tolong diisi dong yang punya experience sebagai penumpang maskapai penerbangan di bawah ini buat menuhin tugas kuliah 🙏🥲
terima masihhh banyakkk

Sriwijaya air
https://t.co/Lk6ahK0KVT

Lion air
https://t.co/ydoOu58U6H"
rahmadanisonia,1594877455382503424,2022-11-22 02:16:31+00:00,0,Twitter for Android,@tikalyca @kaesangp Sy jg ni hahaa. Awalnya @SriwijayaAir jam 2 siang. Trus dpindah ke 17.30 trus gnti lagi ke NAM 5.30 ~ rasanya marah n kesel mesti ke bandara subuh buta 🙃 https://t.co/UnnfbHiQdd
thecrackys,1594857547290529792,2022-11-22 00:57:24+00:00,0,Twitter for Android,"@tikalyca @kaesangp minta tolong diisi dong yang punya experience sebagai penumpang maskapai penerbangan di bawah ini buat menuhin tugas kuliah 🙏🥲
terima masihhh banyakkk

Sriwijaya air
https://t.co/Lk6ahK0KVT

Lion air
https://t.co/ydoOu58U6H"
thecrackys,1594857419880140801,2022-11-22 00:56:54+00:00,5,Twitter for Android,"@abcdinca @kaesangp minta tolong diisi dong yang punya experience sebagai penumpang maskapai penerbangan di bawah ini buat menuhin tugas kuliah 🙏🥲
terima masihhh banyakkk 

Sriwijaya air
https://t.co/Lk6ahK0KVT

Lion air
https://t.co/ydoOu58U6H"
thecrackys,1594855249956999170,2022-11-22 00:48:17+00:00,0,Twitter for Android,"@sandi_wahyudi minta tolong diisi dong yang punya experience sebagai penumpang maskapai penerbangan di bawah ini buat menuhin tugas kuliah 🙏🥲 terima kasih banyakk

Sriwijaya air
https://t.co/Lk6ahK0KVT

Lion air
https://t.co/ydoOu58U6H"
eriiinnn_a,1594848529348005888,2022-11-22 00:21:34+00:00,0,Twitter for Android,@mineraleeeeeee @worksfess Maaf kak itu Sriwijaya air di CGK atau dmna? Sbg staff apa?
mineraleeeeeee,1594785838470029312,2022-11-21 20:12:28+00:00,0,Twitter for iPhone,"@ayrasha5 @worksfess Sriwijaya air udah ga buka lagi kak, terahir aku keluar dari sj karna ada pengurangan covid waktu 2020"
worldnews_guru,1594726151770951680,2022-11-21 16:15:17+00:00,0,Revive Social App,Indonesia to publish findings on 2021 Sriwijaya Air crash https://t.co/UebZrxXdPr #business
syahirwaan,1594623670659346432,2022-11-21 09:28:04+00:00,0,Twitter for Android,Udah gila kali ini maskapai @SriwijayaAir https://t.co/1Qc6szvy6p
syahirwaan,1594622999574872065,2022-11-21 09:25:24+00:00,0,Twitter for Android,Woy @SriwijayaAir udah delay 1 jam lebih. Ac pesawat dimatiin. Suee https://t.co/IAWS8QLabY
ayrasha5,1594608578857664512,2022-11-21 08:28:06+00:00,0,Twitter for iPhone,@mineraleeeeeee @worksfess Sriwijaya air nemu lowongannya dimana ya kak. Aku liat postingan loker penerbangan ga ada samsek pengumuman lowonganny :(
juegrande,1594590202936569860,2022-11-21 07:15:05+00:00,0,Twitter for iPhone,@mineraleeeeeee @worksfess cara liat lowongan kerja di sriwijaya air tu dimana yaa kak?
icecrea09982288,1594545099111043072,2022-11-21 04:15:51+00:00,0,Twitter for Android,"Apakah diantara kalian pernah menggunakan jasa penerbangan dari maskapai Citilink dan Sriwijaya Air? kalau iya, saya boleh minta tolong mengisi questioner di bawah ini

Sriwijaya Air: https://t.co/vNvjCZ43IB

terima kasih

#kuesioner 
#sriwijaya 
#Tugas"
mineraleeeeeee,1594538355894546432,2022-11-21 03:49:03+00:00,434,Twitter for iPhone,"@worksfess Agung sedayu group, alam sutera realty, sinarmas, agung podomoroland, mnc tv, sriwijaya air"
jeonnisrin_,1594152605189517314,2022-11-20 02:16:13+00:00,0,Twitter for Android,"GAIS MINYA TOLONG BISA? TOLONG BANTU ISI KUESIONER INI, PUNYA TEMENNYA TEMEN 

https://t.co/wqrOvjDLKR

timakaci
#SriwijayaAir"
detikfinance,1593795504432898053,2022-11-19 02:37:14+00:00,0,Echobox,Sriwijaya Air merupakan salah satu maskapai domestik terkemuka di Indonesia. Ini dia pemiliknya. https://t.co/CQMY5bP0if
Rubenbahy,1593787697415741440,2022-11-19 02:06:12+00:00,0,Twitter for iPhone,Apa kabar bu sehat selalu bu .. salam hormat ruben amor ( sriwijaya air &amp; Nam Air infligh magazine ) salam hormat bu
